,Open,High,Low,Close,trade_count,vwap,Volume,Adj Close,RSI,MACD,Signal_Line,Middle_Band,Upper_Band,Lower_Band
2025-06-17 09:42:00-04:00,600.23,600.29,599.81,599.99,70.0,600.0796,4502.0,599.99,17.570498915400492,-0.5202921651211909,-0.4606314258538153,601.142,603.3724103947252,598.9115896052749
2025-06-17 09:43:00-04:00,600.02,600.15,599.93,600.09,33.0,600.0401,2800.0,600.09,19.825708061001848,-0.5215399007572614,-0.47281312083450455,601.0235,603.2104808562789,598.8365191437211
2025-06-17 09:44:00-04:00,600.02,600.045,599.855,599.97,58.0,599.9669,5655.0,599.97,39.05579399141616,-0.5261466463324496,-0.4834798259340936,600.92175,603.1058149576892,598.7376850423108
2025-06-17 09:45:00-04:00,599.975,600.195,599.915,600.105,39.0,599.9906,4419.0,600.105,38.52813852813885,-0.5129907159844151,-0.48938200394415793,600.83025,602.9887642922679,598.6717357077321
2025-06-17 09:46:00-04:00,600.2,600.245,600.075,600.245,72.0,600.1808,7110.0,600.245,44.11134903640286,-0.48566922393411005,-0.48863944794214836,600.70725,602.6890818884622,598.7254181115379
2025-06-17 09:47:00-04:00,600.265,600.53,600.235,600.34,43.0,600.3771,3835.0,600.34,50.44843049327313,-0.45115045695524714,-0.48114164974476814,600.57225,602.2256371939329,598.9188628060672
2025-06-17 09:48:00-04:00,600.4,600.46,600.08,600.24,80.0,600.2572,5071.0,600.24,45.72072072072232,-0.4269417311802499,-0.4703016660318645,600.43525,601.642489021551,599.228010978449
2025-06-17 09:49:00-04:00,600.17,600.34,600.065,600.235,36.0,600.2139,2522.0,600.235,47.99054373522395,-0.40350820835169543,-0.45694297449583077,600.3040000000001,600.6984162940844,599.9095837059158
2025-06-17 09:50:00-04:00,600.17,600.21,600.115,600.13,25.0,600.1555,1521.0,600.13,48.33333333333234,-0.3889262949294334,-0.4433396385825513,600.2864999999999,600.6790905894599,599.89390941054
2025-06-17 09:51:00-04:00,600.05,600.38,599.99,600.35,52.0,600.2288,6403.0,600.35,56.91244239631435,-0.35551965284719245,-0.4257756414354796,600.2722500000001,600.6307920072061,599.9137079927941
2025-06-17 09:52:00-04:00,600.43,600.9,600.42,600.74,63.0,600.7191,6197.0,600.74,58.44444444444392,-0.2941837406419836,-0.39945726127678044,600.2832500000001,600.6847245877592,599.8817754122409
2025-06-17 09:53:00-04:00,600.71,600.71,600.53,600.53,47.0,600.6058,4539.0,600.53,50.32537960954416,-0.25952815426308007,-0.3714714398740404,600.29375,600.709984691372,599.8775153086281
2025-06-17 09:54:00-04:00,600.54,600.63,600.49,600.51,48.0,600.5391,2522.0,600.51,48.10690423162512,-0.23101419736485695,-0.3433799913722037,600.29775,600.7209766437572,599.8745233562427
2025-06-17 09:55:00-04:00,600.53,600.53,600.35,600.35,31.0,600.4227,1602.0,600.35,47.999999999999396,-0.21880509498180345,-0.3184650120941237,600.29925,600.7230209813305,599.8754790186696
2025-06-17 09:56:00-04:00,600.35,600.85,600.33,600.66,40.0,600.6302,2825.0,600.66,65.87677725118377,-0.1820167088415019,-0.29117535144359935,600.3222499999999,600.7724484970264,599.8720515029735
2025-06-17 09:57:00-04:00,600.76,600.775,600.68,600.75,56.0,600.7284,4440.0,600.75,65.71428571428478,-0.14394014751962914,-0.2617283106588053,600.35725,600.8267567427254,599.8877432572747
2025-06-17 09:58:00-04:00,600.8,600.8,600.655,600.7,37.0,600.7007,3241.0,600.7,67.98029556650314,-0.11645634423314277,-0.2326739173736728,600.3742500000001,600.8681632167462,599.8803367832539
2025-06-17 09:59:00-04:00,600.7,600.75,600.7,600.75,16.0,600.7257,744.0,600.75,66.58097686375328,-0.08960770810574559,-0.20406067552008736,600.3860000000001,600.9045770027516,599.8674229972486
2025-06-17 10:00:00-04:00,601.005,601.13,600.92,600.97,52.0,601.0025,5427.0,600.97,67.901234567902,-0.050001423868025086,-0.1732488251896749,600.4047499999999,600.9792472652539,599.830252734746
2025-06-17 10:01:00-04:00,600.96,600.96,600.565,600.565,38.0,600.824,1860.0,600.565,54.81798715203492,-0.050708734805652966,-0.14874080711287052,600.411,600.9898154895496,599.8321845104502
2025-06-17 10:02:00-04:00,600.52,600.68,600.51,600.68,18.0,600.605,768.0,600.68,59.36170212765913,-0.041511229303296204,-0.12729489155095566,600.4455,601.0004196266111,599.890580373389
